shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
MANDAI_TO_KHATIB,1.40443,103.78702,24
MANDAI_TO_KHATIB,1.40448,103.7869,25
MANDAI_TO_KHATIB,1.40451,103.78685,26
MANDAI_TO_KHATIB,1.40455,103.78679,27
MANDAI_TO_KHATIB,1.40459,103.78674,28
MANDAI_TO_KHATIB,1.40463,103.78669,29
MANDAI_TO_KHATIB,1.40467,103.78663,30
MANDAI_TO_KHATIB,1.40468,103.78661,31
MANDAI_TO_KHATIB,1.40473,103.78655,32
MANDAI_TO_KHATIB,1.40479,103.7865,33
MANDAI_TO_KHATIB,1.40481,103.78647,34
MANDAI_TO_KHATIB,1.40495,103.78634,35
MANDAI_TO_KHATIB,1.40508,103.78625,36
MANDAI_TO_KHATIB,1.40522,103.78613,37
MANDAI_TO_KHATIB,1.40534,103.78603,38
MANDAI_TO_KHATIB,1.40561,103.78578,39
MANDAI_TO_KHATIB,1.40575,103.78567,40
MANDAI_TO_KHATIB,1.40598,103.78546,41
MANDAI_TO_KHATIB,1.40621,103.78528,42
MANDAI_TO_KHATIB,1.40644,103.78511,43
MANDAI_TO_KHATIB,1.40645,103.78511,44
MANDAI_TO_KHATIB,1.40659,103.785,45
MANDAI_TO_KHATIB,1.40662,103.78498,46
MANDAI_TO_KHATIB,1.40674,103.7849,47
MANDAI_TO_KHATIB,1.40682,103.78483,48
MANDAI_TO_KHATIB,1.40687,103.78478,49
MANDAI_TO_KHATIB,1.40691,103.78474,50
MANDAI_TO_KHATIB,1.40697,103.78469,51
MANDAI_TO_KHATIB,1.407,103.78466,52
MANDAI_TO_KHATIB,1.40705,103.7846,53
MANDAI_TO_KHATIB,1.40711,103.78452,54
MANDAI_TO_KHATIB,1.40715,103.78445,55
MANDAI_TO_KHATIB,1.40719,103.78437,56
MANDAI_TO_KHATIB,1.40724,103.78413,57
MANDAI_TO_KHATIB,1.40728,103.78399,58
MANDAI_TO_KHATIB,1.40731,103.78386,59
MANDAI_TO_KHATIB,1.40732,103.78377,60
MANDAI_TO_KHATIB,1.40735,103.78366,61
MANDAI_TO_KHATIB,1.4074,103.78353,62
MANDAI_TO_KHATIB,1.40744,103.78344,63
MANDAI_TO_KHATIB,1.40745,103.78341,64
MANDAI_TO_KHATIB,1.40747,103.78336,65
MANDAI_TO_KHATIB,1.4075,103.78321,66
MANDAI_TO_KHATIB,1.40754,103.78303,67
MANDAI_TO_KHATIB,1.40758,103.7829,68
MANDAI_TO_KHATIB,1.40761,103.78273,69
MANDAI_TO_KHATIB,1.40762,103.78263,70
MANDAI_TO_KHATIB,1.40763,103.78252,71
MANDAI_TO_KHATIB,1.40763,103.78235,72
MANDAI_TO_KHATIB,1.40761,103.78226,73
MANDAI_TO_KHATIB,1.4076,103.78218,74
MANDAI_TO_KHATIB,1.40759,103.78202,75
MANDAI_TO_KHATIB,1.4076,103.78182,76
MANDAI_TO_KHATIB,1.40763,103.78155,77
MANDAI_TO_KHATIB,1.40766,103.78139,78
MANDAI_TO_KHATIB,1.40769,103.78132,79
MANDAI_TO_KHATIB,1.40772,103.78125,80
MANDAI_TO_KHATIB,1.40777,103.78115,81
MANDAI_TO_KHATIB,1.40787,103.78098,82
MANDAI_TO_KHATIB,1.40799,103.78081,83
MANDAI_TO_KHATIB,1.408,103.7808,84
MANDAI_TO_KHATIB,1.40817,103.78056,85
MANDAI_TO_KHATIB,1.40841599015212,103.780277421171,86
MANDAI_TO_KHATIB,1.408396,103.780256,87
MANDAI_TO_KHATIB,1.40843208122986,103.780259983901,88
MANDAI_TO_KHATIB,1.40848,103.78021,89
MANDAI_TO_KHATIB,1.40859,103.78007,90
MANDAI_TO_KHATIB,1.40865,103.78,91
MANDAI_TO_KHATIB,1.40871,103.77995,92
MANDAI_TO_KHATIB,1.40877,103.77989,93
MANDAI_TO_KHATIB,1.40883,103.77984,94
MANDAI_TO_KHATIB,1.40889,103.7798,95
MANDAI_TO_KHATIB,1.40893,103.77978,96
